Date (date),country_name,ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),commodity,unit,quantity,value_inr,value_usd,date
2024-04-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,84194090,Others,Nos,1.0,0.12,0.01,2024-04-01
2019-08-01,Thailand,THA,764,Asia,142,South-eastern Asia,35,85023100,Othr Generating Sets; Wind Powered,Nos,0.0,2.6,0.0,2019-08-01
2019-09-01,Viet Nam,VNM,704,Asia,142,South-eastern Asia,35,30049036,Chenodiol And Ursodiol,Kgs,0.0,0.03,0.0,2019-09-01
2017-03-01,Hong Kong,HKG,344,Asia,142,Eastern Asia,30,85437069,Other Amplifier,Nos,0.0,12.03,0.02,2017-03-01
2015-07-01,Afghanistan,AFG,4,Asia,142,Southern Asia,34,54078490,Others,Sqm,0.06,0.64,0.0,2015-07-01
2018-11-01,Bhutan,BTN,64,Asia,142,Southern Asia,34,84349010,Parts Of Milking Machinery,Kgs,0.0,0.01,0.0,2018-11-01
2016-08-01,Turkiye,TUR,792,Asia,142,Western Asia,145,52054310,Grey,Kgs,21.4,47.21,0.07,2016-08-01
2025-02-01,Kuwait,KWT,414,Asia,142,Western Asia,145,84123900,Othr Pneumatic Power Engines And Motors,Nos,10.0,0.0,0.0,2025-02-01
2024-11-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,94069090,Other,Nos,7036.0,3.36,0.4,2024-11-01
2020-09-01,Turkiye,TUR,792,Asia,142,Western Asia,145,36030020,*Detonating Fuses,Kgs,39.29,230.41,0.31,2020-09-01
2021-11-01,Saudi Arabia,SAU,682,Asia,142,Western Asia,145,85444299,Othr Elctrc Cndctrs Fitted Wth Connctrs Used In Telecom Fr <=1000V Excl Papr Plsctic And Rubber Insulated,Mtr,4.45,19.2,0.03,2021-11-01
2016-10-01,Israel,ISR,376,Asia,142,Western Asia,145,18069090,Other Food Preparations Containing Cocoa,Kgs,5.0,20.0,0.03,2016-10-01
2019-05-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,85015310,"A.C. Squirrel Cage Induction Motors, 3 Phase Type",Nos,0.0,0.49,0.0,2019-05-01
2024-07-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,73269040,Enamld Irn Ware(Excl Utnsl And Sign Bord),Kgs,155.0,0.0,0.0,2024-07-01
2018-10-01,Turkiye,TUR,792,Asia,142,Western Asia,145,38241000,Prpd Binders Fr Foundry Moulds/Cores,Kgs,40.0,15.05,0.02,2018-10-01
2021-06-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,38029011,Activated Alumina,Kgs,0.2,0.38,0.0,2021-06-01
2020-11-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,84149019,"Prts Of Othr Air/Vacum Pumps,Cmprssrs And Fans",Kgs,1.32,16.91,0.02,2020-11-01
2024-12-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,20031000,Mushrooms Prepd/Prsvd,Kgs,2.0,0.01,0.0,2024-12-01
2018-08-01,Viet Nam,VNM,704,Asia,142,South-eastern Asia,35,30039021,Menthol Crystal,Kgs,0.4,9.58,0.01,2018-08-01
2020-02-01,Republic of Korea,KOR,410,Asia,142,Eastern Asia,30,85021100,Genrtng Sets Wth Cmprssn Igntn Intrnl Cmbstn Pstn Engns(Diesl/Semi-Diesl Engns) Of An Output Nt Excdng 75 Kva,Nos,0.0,14.93,0.02,2020-02-01
2024-06-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,84716090,Other,Nos,353.0,0.21,0.03,2024-06-01
2017-09-01,Yemen,YEM,887,Asia,142,Western Asia,145,30049099,Other Medcne Put Up For Retail Sale N.E.S,Kgs,52.91,720.93,1.12,2017-09-01
2024-06-01,Viet Nam,VNM,704,Asia,142,South-eastern Asia,35,29054300,Mannitol,Kgs,7.0,0.0,0.0,2024-06-01
2021-11-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,84621019,Other Hammers,Nos,0.01,10.78,0.01,2021-11-01
2024-06-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,29280090,Othr Orgnc Drvts Of Hydrazine/Hydrxylmine,Kgs,1.0,0.0,0.0,2024-06-01
2016-08-01,Oman,OMN,512,Asia,142,Western Asia,145,84839000,Parts Of The Items Of Hdg 8483,Kgs,0.07,0.59,0.0,2016-08-01
2024-12-01,Maldives,MDV,462,Asia,142,Southern Asia,34,9093119,Other Seeds Of Black Cummin Neither Crushed Nor Ground,Kgs,1875.0,0.05,0.01,2024-12-01
2019-02-01,Nepal,NPL,524,Asia,142,Southern Asia,34,87060042,Chassis Fr Vhcls Hdng 8704 Excp Petrl Drvn,Nos,0.1,1304.67,1.83,2019-02-01
2019-08-01,Bhutan,BTN,64,Asia,142,Southern Asia,34,90021900,Other Objective Lenses,Nos,0.01,0.01,0.0,2019-08-01
2015-10-01,Singapore,SGP,702,Asia,142,South-eastern Asia,35,19059040,Papad,Kgs,42.2,50.48,0.08,2015-10-01
2018-10-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,84831099,Other Trnsmsn Shft(Incl Cam And Crnk Shft),Nos,19.91,71.88,0.1,2018-10-01
2020-10-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,90291090,Other,Nos,0.29,2.22,0.0,2020-10-01
2019-11-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,85472000,Insltng Fttngs Of Plastics,Kgs,19.0,105.79,0.15,2019-11-01
2015-10-01,Singapore,SGP,702,Asia,142,South-eastern Asia,35,87149290,Others,Nos,0.02,0.28,0.0,2015-10-01
